PoTAMOGETON PECTINATUS
Holcus borealis
Comarum palustre
Lappa minor
THLASPI ALPESTRE
Zingiber Meleguetta
POTAMOGETON CRISPUS
Belenia praealta
Tulipa suaveolens
Calamintha Acinos
Isoetes echinospora
Fenzlia obtusa
Spergula arvensis
PHYSALIS peruviana
Deschampsia cespitosa
Clinopodium vulgare
PRIMULA Forbesii
Oncidium Janeirense
Nicotiana quadrivalvis
Staphylea pinnata
Hirtella racemosa
Hibiscus physaloides
LAMIUM maculatum
Sciaphila tenella
Matthiola sinuata
Lathyrus Clymenum
Tithymalus characias
Bromus Kalmii
Euclea undulata
Sisymbrium Austriacum
Ballota spinosa
Woodsia alpina
Linosyris Tatarica
Ruellia varians
Ternstroemia Britteniana
Cyperus longus
Dipsacus atropurpureus
Antirrhinum bellidifolium
Ferula communis
Rumex longifolius
Asplenium rutaceum
Inula vulgaris
Swietenia Mahagoni
Linaria Cymbalaria
ATRIPLEX pedunculata
Carum segetum
Cucubalus angustifolius
Cymbidium luteum
Thrinax argentea
Holothrix Vatkeana
LEPIDIUM latifolium
Carduus vivariensis
Asarum Shuttleworthii
Fumaria major
Stizolobium urens
Pteris dissitifolia
Cymodocea Webbiana
Wolffia Michelii
Hesperis verna
Festuca bromoides
Isatis tinctoria
Eupatorium vestitum
Achillea nobilis
Lobelia Bicolor
Trillium erythrocarpum
Ixia Excisa
Medicago polymorpha
Micromeria Juliana
STACHYS palustris
Aira montana
Olbia hastata
Oenanthe gymnorrhiza
Hornemannia ovata
Moricandia arvensis
Eriophorum gracile
Didymopanax Morototoni
Calanthe bicolor
Linum hypericifolium
Rottboellia incurvata
Solanum amicorum
Potentilla ambigua
Lactuca alpina
Senebiera Coronopus
Primula obliqua
Gnaphalium germanicum
Epidendrum chlorops
WOLFFIA ARRHIZA
Drymonia villosa
Stellaria Arenaria
abies nobilis
Gilia capitata
Cineraria arachnoidea
Pentanisia sericocarpa
PRIMULA veris
Himantoglossum secundiflorum
Carex vesicaria
Calendula incana
Viola grandiflora
Grevillea lavandulacea
Celtis Zenkeri
Dolichos stipulosus
Muhlenbergia ramosissima
Oenothera undulata
SCILLA maritima
Brassica Sinapioides
Posidonia serrulata
Galatella punctata
Ranunculus Lingua
Asclepias Carnosa
Santolina maritima
Gentiana scilloides
Allium Cepa
JuNCUS HosTii
Cephalanthus peroblongus
Malvastrum fragrans
Sisymbrium officinale
Matthiola elliptica
Viola lutea
Artemisia scoparia
Blackstonia perfoliata
Nerium antidysentericum
Sanicula lamelligera
Apinella glauca
Rumex acetosa
Avena versicolor
Ferula rubricaulis
Arenaria rubra
Aspidium Oreopteris
Masdevallia gemmata
Stachys recta
Geranium pratense
Lilium longiflorum
Panicum crus-galli
COLQUHOUNIA coccinea
Gentiana lutea
Dalea spinosa
Jacquinia smaragdina
Microglossa mikanioides
Vernonia collina
Armeria maritima
Horkelia Bolanderi
Indigofera Bojeri
Afromendoncia madagascariensis
Iris cretensis
FiLAGo GERMANicA
LIMOSELLA AQUATICA
Crucianella patula
OROBANCHE minor
Euphorbia strobilifera
Statice binervosa
Salix adscendens
Amomum verum
Ilex paraguayensis
Gendarussa Neesiana
Pyrus aria
Tiarella cordifolia
Silene Burchellii
Tephrosia vestita
Saxifraga maculata
Antirrhinum majus
Centaurea solstitialis
Cyperus glandulosus
Lathyrus latifolius
Spathodea puberula
Mitella pentandra
Thomasia solanacea
Entada Schefferi
Tradescantia virginica
Pittosporum cornifolium
Hieracium leptocaulon
Hedyotis xanthochroa
Aralia nudicaulis
Cheilanthes fragrans
Acrostichum alcicorne
Pandiaka Heudelotii
Iris alata
Justicia elegantula
AQUILEGIA hybrida
ROSA RUBIGINOSA
Kerria Japonica
Koeleria panicea
Polypodium ilvense
Moneses uniflora
Viola pedunculata
Umbilicus patulus
Eranthemum pulchellum
Potentilla Wallichiana
Melasma spathaceum
JUNCUS ACUTUS
Petroselinum sativum
Grammitis Ceterach
Carex nemostachys
ASPIDIUM aculeatum
LiLiuM Martagon
Thalictrum macrostigma
LONICERA Caprifolium
Lenticula minor
Pleurothallis picta
Obesia geminata
Primula tosaensis
Ononis mollis
Statice Armeria
Allantodia Brunoniana
Commiphora cuneifolia
Gagea arvensis
Pyrus cathayensis
Geranium nodosum
Cordia subcordata
Sedum amplexicaule
Bermudiana graminea
Bromus maximus
Potamogeton perfoliatus
Melica uniflora
Festuca vivipara
Baronia Taratana
Stelis foliosa
Petrea Volubilis
Osbornia octodonta
Chamaecerasus dumetorum
Luzula Wahlenbergii
Ruppia spiralis
Matthiola rupestris
Delphinium scaposum
BERTOLONIA maculata
Hedysarum saxatile
Mesembryanthemum depressum
TRILLIUM erythrocarpum
Epilobium ramosum
Crepis rubra
Gallitrichum virgatum
Hieracium umbellatum
Persoonia laurina
Gamoplexis orobanchoides
Poa arctica
Adiantum tenerum
Sagittaria bulbosa
Cornus florida
Tabebuia dentata
Cerastium carpetanum
Symphytonema madagascariense
Potamogeton RUTiLus
Sclarea lanata
Ornithogalum Squilla
Olea apetala
OXALIS LOBATA
Acacallis cyanea
MENTHA arvensis
Teesdalia regularis
Gloriosa angulata
FRAXINUS excelsior
Eroteum undulatum
Festuca expansa
SciLLA BIFOLIA
Davallia elegans
Pedicularis sceptrum
Scabiosa rufescens
Pharnaceum incanum
Astelma modestum
Anthemis cyrenaica
Ranunculus parviflorus
Cistus albidus
LYSIMACHIA nutans
Traganum nudatum
ScROPHULARiA NODOSA
Hydrocharis morsus-ranae
ANTHURIUM GLADIIFOLIUM
Weihea Thomassetii
Galeopsis speciosa
Clinogyne virgata
Calamintha acinos
Ficus acuminata
Schizanthus retusus
Cassia grandis
GNIDIA viridis
Scirpus bifolius
Areca augusta
Lepidium heterophyllum
Scirpus lacustris
Juncus modicus
Luzula arctica
Orobus niger
Phyteuma orbiculare
Govenia utriculata
MAIANTHEMUM BIFOLIUM
Solanum Andreanum
Herpolirion capense
Ehretia resinosa
Maba buxifolia
Masdevallia Laucheana
Crepis capillaris
Sedum forsterianum
EqUISETUM HYEMALE
Fadogia Livingstoniana
Valeriana ruthenica
Pteris cordata
Lasianthus trichophlebus
ViCIA LATHYROIDES
Clematis leptomera
Vriesea scalaris
Chrysopsis villosa
Psychotria cristata
Euphorbia pilosa
Zehneria alba
Diaphoranthema subulata
Phleum tenue
Ajuga repens
Helipterum corymbiflorum
Onobroma arborescens
VANDA PUMILA
Saxifraga ciliata
Anadenia Manglesii
Trientalis europaea
Draba aizoides
Dipladenia polymorpha
Zostera marina
Rivina laevis
Milium cuspidatum
Anthemis Triumfetti
Polygala bracteolata
Liparis Loeselii
Daphne Mezereum
Solidago odora
Gynura Proschii
Ornithogalum narbonense
Hypopitys multiflora
Carduus eriophorus
Colocasia odora
Helianthemum guttatum
Melhania prostrata
Berkheya Zeyheri
Genista Anglica
Oncidium varicosum
Cydonia sinensis
Deschampsia flexuosa
Hedysarum diphyllum
Zornia latifolia
Habenaria viridis
Aconitum Lycoctonum
Statice rariflora
Dipsacus pilosus
Carphephorus junceus
Samolus repens
Cochlearia armoracia
Berardia affinis
Styphelia cornifolia
PINGUICULA VULGARIS
Diuris tricolor
Cyperus nigricans
Lactuca saligna
Crassula monticola
Schrankia uncinata
Brassica orientalis
Lupinus Texensis
Bidens pilosa
Lavandula vera
Aquilicia Ottilis
STAPHYLEA pinnata
Mimosa verticillata
Tamarix gallica
Plectanthera ciliosa
Magnolia stellata
Triachyrum cordofanum
Lychnis magellanica
Pleurothallis elachopus
Iris diversifolia
Eragrostis minor
Alphitonia excelsa
Ranunculus hederaceus
ilex conocarpa
SAXIFRAGA cernua
Samolus valerandi
TILLANDSIA TOMENTOSA
Psiadia arabica
Silene lacera
Fritillaria flavida
Centaurea nigrescens
Anopterus glandulosus
Caladium fragrantissimum
primula sapphirina
Hypericum undulatum
VERONICA BUXBAUMII
Polygala senega
trifolium pannonicum
Mucuna axillaris
Eriogonum latifolium
Pteris deltodon
Origanum vulgare
Hevea brasiliensis
Hosackia puberula
Cardamine Lamontii
Polypodium Lonchitis
Balanophora elongata
Draba Aizoon
Veronica spicata
Lychnis dioica
Phillyrea latifolia
Solanum auriculatum
Crocus nivalis
Dewevrella congensis
Hedera alaris
Thunbergia fragrans
Hedysarum villosum
Calystegia sepium
Bambusa arundinacea
Melanthium Junceum
Lyonia Jamaicensis
Pothos scandens
Malva plumosa
MoLiNERiA cRAssiFOLiA
Galium elongatum
Circaea lutetiana
Nepenthes stenophylla
Crinum Hildebrandtii
Samyda glabra
Picridium vulgare
Cactus opuntia
Achimenes cupreata
Monocera grandiflora
Rudbeckia hirta
Lantana mixta
Quercus ilex
BiDENS TRIPARTITA
Spiraea filipendula
Gardenia globosa
VERONICA triphyllos
Wintera axillaris
Cymbidium rhodochilum
IRIS versicolor
GESNERIA pardina
Convallaria majalis
Erica vulgaris
Disemma aurantia
AvENA PRATENSis
Thymus quinquecostatus
Bidens minima
DiPLOTAXIS TENUIFOLIA
Aspidium axillare
PHILODENDRON Williamsii
Viola subtilis
Geranium shikokianum
festuca rigida
Michauxia laevigata
Coccocypselum glabrum
Ceratostigma speciosum
Geranium pusillum
Bulbophyllum auricomum
CAREX INCURVA
Francoa appendiculata
Prunus Mahaleb
Senecio erechthitoides
Pterocarpus erinaceus
Malesherbia paniculata
CROCUS aureus
Persicaria orientalis
Thalictrum minus
BILLBERGIA bivittata
Solanum laciniatum
Mystropetalon Thomii
Pteris Brasiliensis
Erodium triviale
Tricholepis NIGRICANS
Palicourea acanthaceoides
Crenularia eunomioides
Russelia multiflora
Filago lutescens
Heliotropium Indicum
Thalictrum Jacquinianum
Alchemilla arvensis
Oxalis corniculata
Senecio squalidus
Cleome serrulata
OLEARIA CHATHAMICA
Ardisia acerosa
SciLLA NUTANS
Holosteum cordatum
Cyperus triflorus
Conyza cylindrica
Calamintha parviflora
Lepidium draba
Polygonum Convolvulus
Cyperus bulbosus
Lilium peregrinum
Ophiorrhiza peploides
Lilium Dauricum
Bellendena montana
Dianthus Alpinus
Fuchsia triphylla
Polystachya ruwenzoriensis
Lastrea cristata
Trimeriza piperina
Lilium Stewartianum
Viola montana
Gnaphalium Steudelii
Geissorhiza grandis
Crambe maritima
Lathyrus Boissieri
AsperuLa cynanchica
Vochysia guatemalensis
Gardenia Cunliffeae
Omphalodes scorpioides
ISNARDIA PALUSTRIS
Arnica Doronicum
Salsola zygophylla
Andropogon pertusus
LOTUS major
CAREX limosa
Cerasus avium
Spergella macrocarpa
Rubus idaeus
Ammodenia peploides
ferula tingitana
Acrostichum simplex
Apluda mutica
Chrysocoma Linosyris
Poa Parnellii
Potamogeton proteus
Malvastrum operculatum
Montrichardia linifera
Dicoma cana
Gnaphalium margaritaceum
Juglans regia
PepliS Portula
AcoRUS Calamus
Convolvulus Arvensis
Spathoglottis Petri
Betula populifolia
arenaria gothica
Sonchus lacerus
Duvernoia speciosa
Campanula Tommasiniana
Echinophora spinosa
Talinum Caffrum
Astragalus campestris
Alchemilla conjuncta
CYNOSURUS echinatus
Carex strigosa
Cochlearia Draba
Stachys betonica
Centaurea scabiosa
Anthyllis carpatica
CHENOPODIUM ficifolium
LILIUM rubrum
Rubus ochlanthus
Halesia hispida
Eranthemum crenulatum
Alsine verna
Raphionacme excisa
Imantophyllum miniatum
Chailletia vestita
Tussilago nutans
Trifolium scabrum
Arabis glabra
Asystasia coromandeliana
Nuxia oppositifolia
Gastridium australe
Orchis fuciflora
Parishella californica
Scirpus pungens
Garidella Nigellastrum
Salmea curviflora
Rosa moschata
Clematis terniflora
Acmena floribunda
Verbascum Tauricum
VERBASCUM pulverulentum
IMPATIENS AURICOMA
Lessertia pulchra
Craspedia pilosa
Abutilon esculentum
Cheilanthes odora
Melanthium viride
Malvastrum strictum
Linaria cymbalaria
CONVALLARIA majalis
Agrimonia Eupatoria
Malvastrum diminutivum
Linaria ochroleuca
Saxifraga nivalis
Cedrus Cedrus
ALTHAEA HIRSUTA
Celsia cretica
Leycesteria stipulata
Euphorbia dendroides
Mentha paludosa
Anemone Thalictroides
ULex Gallii
Nephrodium subbiauritum
HELLEBORUS albus
Solanum trilobatum
Dillwynia parvifolia
Aronia alnifolia
AsPLENiUM Adiantum-nigrum
Gymnadenia conopsea
Helianthemum canum
Notoptera tequilana
Caryolopha sempervirens
Asplenium amoenum
Polypogon maritimus
ANTIRRHINUM repens
CAUCALIS infesta
Coreopsis insecta
Vicia villosa
Ferraria pusilla
Stereospermum serrulatum
Ervum tetraspermum
Crassula muscosa
Pittosporum bicolor
crocus sativus
Didymoplexis sylvatica
Allium scorodoprasum
IRIS persica
Thesium intermedium
QUERCUS sessiliflora
Gossypium barbadense
GLECHOMA hederacea
HEDYCHIUM chrysoleucum
Convolvulus Randii
Dirichletia venulosa
Gilibertia saururoides
HYPOESTES ARISTATA
Eruca viminea
Schizoglossum semlikense
Rhododendron Maximum
SALVIA VERBENACA
SAGINA NIVALIS
Euphorbia serrata
Ervum parviflorum
Prenanthes acerifolia
Bromus rigidus
Laserpitium Siler
Dicliptera Maclearii
CHENOPODIUM polyspermum
Abutilon graveolens
Salvinia adnata
Festuca arundinacea
Quercus ilicifolia
ALLIUM INODORUM
Staphylea colchica
Hypericum DUBiUM
Onosma stellulata
Ophelia angustifolia
Erica verticillata
Viguiera wedelioides
Vernonia Schimperi
Protea criniflora
Serrafalcus secalinus
Alseuosmia macrophylla
Carduus marianus
Silene maritima
RuMEx Hydrolapathum
Catopsis nutans
Lotus emeroides
Carex rostrata
Hedypnois hispida
Cistus ochreatus
Sparganium neglectum
Heteropogon contortus
Antirrhinum ORONTiUM
tulipa suaveolens
Ribes nigrum
GUSTAVIA PTEROCARPA
Epidendrum tridentatum
Augea capensis
Juanulloa Sargii
Clematis Vitalba
Rumex Acetosa
Agasta indica
Agave Besseriana
Oxygonum Dregeanum
Stanhopea ecornuta
Inula Crithmoides
Artemisia stelleriana
Pyrola secunda
Orania nicobarica
Ballota nigra
Helipterum variegatum
Rumex digynus
Ranunculus vulgatus
Spiraea bella
ARUNDO stricta
Gymnadenia Wahlenbergii
THLASPI perfoliatum
Celastrus dilatatus
Gypsophila muralis
Sesuvium revolutum
Ajuga reptans
Homalium lucidum
Phyllanthus Gunnii
Cucubalus baccifer
Stellaria dicranoides
Tephrosia purpurea
CALLUNA VULGARIS
Cnicus oleraceus
Kentrophyllum arborescens
Crepis foetida
Plagianthus Lampenii
Gueldenstaedtia flava
Lotus pentaphyllos
Campanula spicata
SALIX caprea
Menispermum fenestratum
Morisonia flexuosa
SALVIA officinalis
Sedum aureum
ALOPECURUS bulbosus
Ficus denticulata
Allium cepa
Heleochloa dura
Ophelia cordata
Malus Sargentii
Crinum pauciflorum
Thelysia alata
ANTIRRHINUM majus
Rosa cinnamomea
Cactus Opuntia
RUMEX MAXIMUS
Freycinetia arborea
Fadogia Rogersii
ViNCA MINOR
Astilbe rubra
Stachys iberica
Lygodium venustum
Dactylis hispanica
Restrepia Lansbergii
Leucadendron thymelaeoides
Sisyrinchium speciosum
Sophora monosperma
Michelia Champaca
PiMPiNELLA LAXiFLORA
Avena fatua
Chrysanthemum segetum
Megaclinium platyrhachis
Sison sylvaticum
Rhododendron irroratum
Warneria Canadensis
VIEUSSEUXIA fugax
Gymnosporia variabilis
Pleurothallis Lindenii
Montia rivularis
Physurus jamaicensis
Crossandra pinguior
Lens esculenta
Aloe macracantha
Hesperomannia arborescens
Tephrosia monantha
Asclepias rivalis
Poa violacea
EPILOBIUM montanum
Medicago sativa
Raphanus caudatus
Bupleurum rotundifolium
Viola stagnina
Eugenia aggregata
Dendrobium chryseum
Iris Squalens
Iris Persica
fumaria cucullaria
Festuca Halleri
Senecio Saracenicus
Verbesina gigantea
Macrosiphon elongatus
Linociera coriacea
Pinus hispanica
Carduus mollis
Narcissus poetarum
Lechenaultia oblata
Linaria odora
Solanum Amazonium
Gomphocarpus dealbatus
Mimosa punctata
Cuminum cyminum
Akebia quinata
Salix repens
Tamus communis
Dipsacus laciniatus
Fintelmannia setifera
Dolia salsoloides
Tofieldia palustris
Lafuentea rotundifolia
CAMELLIA Sasanqua
Cleome dodecandra
Ozothamnus cinereus
Hedysarum flexuosum
Poa littoralis
Nomocharis Wardii
Allium Victorialis
Bauhinia bauhinioides
Rosa Lutea
Jasminum catalonicum
Plantago tomentosa
Erodium maritimum
Cardamine amara
Senecio speciosus
Solanum Lycopersicum
Pachysandra procumbens
Ilex uniflora
CAREX CANESCENS
Papaver nudicaule
CoNYZA scandens
Helleborine viridiflora
Dracocephalum speciosum
Matricaria salina
Poterium Sanguisorba
Nierembergia gracilis
Satyrium nigrum
Sideroxylon mite
Allium sphaerocephalum
Cooperia chlorosolen
SAXIFRAGA hypnoides
Hypolepis repens
Bonatea speciosa
Spergularia marina
Samyda Rosea
Averrhoa bilimbi
Mentha aquatica
Camellia Grijsii
Puya grandiflora
Naravelia pilulifera
Aralia spinosa
Oncidium splendidum
Rosa polyantha
Canna angustifolia
Crotalaria trifoliolata
Veronica hybrida
Leucaena glauca
Saxifraga mutata
Diclytra formosa
Tulipa Orphanidea
Manettia Lygistum
Carpolyza spiralis
Rubus oigocladus
Callicarpa micrantha
Ranunculus circinatus
Uncinia gracilis
Polygala monspeliaca
Lychnis Flos-cuculi
Bellis aculeata
Gladiolus lineatus
CAMPANULA hybrida
Actaea spicata
Caucalis leptophylla
Clematis florida
EUPATORIUM cannabinum
Cerastium subtetrandrum
Aloe glauca
Ornitrophe spicata
Populus tremula
Tradescantia Virginica
Grevillea Helmsiana
Festuca sabulicola
Otopappus brevipes
Andropogon Ischaemum
Cactus crinitus
THUNBERGIA primulina
Serapias Lingua
Fuirena pubescens
Polygala grisea
Narcissus minor
Statice plantaginea
RUELLIA MACRANTHA
Crepis pulchra
Phaca Edmonstonei
Raphanus raphanistrum
Galium bermudense
Carex Chordorrhiza
Euphorbia peplus
Marrubium album
Myosotis versicolor
Passiflora incarnata
Hypericum elodes
Linaria reflexa
Anthericum semibarbatum
Melissa Clinopodium
Fitchia speciosa
Gladiolus communis
SYMPHYANDRA WANNERI
Medinilla lanceolata
Galeopsis bifida
SALVIA LONGISTYLA
Blysmus compressus
Pleuropetalum Darwinii
Salvia indica
Canna indica
Mimosa angustissima
Torilis Anthriscus
Danthonia decumbens
Afzelia quanzensis
Gastrodia sesamoides
Festuca ovina
Taraxacum dens-leonis
Helleborine media
Malva Sylvestris
CAREX MURICATA
Chenopodium murale
Kennedia ovata
Carex MURicATA
Iris Florentina
Omphalodes linifolia
BiDENS PiLOSA
Epilobium Lamyi
Cheiranthus sinuatus
Funkia subcordata
Cyperus Fuscus
Valerianella microcarpa
Trifolium majus
Tuberaria echioides
Rubus reflexus
Begonia integrifolia
Angelonia ciliata
persea gratissima
Stachys sylvatica
Asplenium Trichomanes
Alisma natans
Vicia uncinata
Draba asprella
Calliopsis tinctoria
Holothrix montigena
Lomatia ilicifolia
Portlandia uliginosa
ATACCIA CRISTATA
Ocotea acuminata
SALICORNIA radicans
Commelina formosa
Wunderlichia Glaziovii
Cyperus Wightii
Goodenia ovata
LOBELIA Dortmanna
Bromus multiflorus
Asclepias xysmalobioides
Eucomis regia
Myrcia acris
Verschaffeltia splendida
Begonia obliqua
Pteris palmata
Eriocaulon echinulatum
Disporum uniflorum
Disperis Humblotii
Asplenium germanicum
CRINUM americanum
Phalaris phleoides
PLANTAGO LANCEOLATA
Lonicera thibetica
FESTUCA elatior
BUTOMUS umbellatus
Loxococcus rupicola
Senecio Nuttallii
Spermacoce tenuior
Orthosiphon gofensis
Dilochia Cantleyi
Pyrus sinensis
RUMEX Acetosella
Chrysanthemum Indicum
Hypecoum procumbens
Styphelia cordifolia
POPULUS tremula
Celtis pumila
CINCHONA LEDGERIANA
Gentiana Diemensis
Hippeastrum Andreanum
Malvastrum capitatum
Barbarea Stricta
Claytonia Alsinoides
Protea villosa
Vicia monanthos
Plinia pedunculata
Tandonia cordifolia
Catasetum purum
Spinifex squarrosus
MYOSOTIS arvensis
Viburnum erosum
Lamium album
BOCCONIA CORDATA
Ammophila arundinacea
Asplenium adiantum-nigrum
HYPERICUM perforatum
Agrostis vulgaris
Stanhopea pulla
Hibiscus riparius
Adonis aestivalis
Nephrodium ramosum
Carex Montana
ALCHEMILLA CONJUNCTA
Ligustrum ovalifolium
Anagallis caerulea
CISTUS tomentosus
Carex teretiuscula
Polygonum maculatum
Orobus tenuifolius
Begonia Fischeri
Geranium Purpureum
Nicotiana rustica
Dendrobium crepidatum
Ranunculus lanuginosus
Thlaspi Bursa-Pastoris
Larix Sibirica
Calypso americana
Convolvulus Canariensis
Rhizophora parviflora
Pisonia umbellifera
Sebaea albidiflora
FEDIA Cornucopiae
CAREX pauciflora
PoLYPODiuM dentatum
LILIUM Martagon
ViciA GRACILIS
Paronychia echinata
Olearia insignis
Erica baccans
Conobea alata
Laportea gigas
Lilium chalcedonicum
Erythraea Centaurium
Eupatorium Vaseyi
Lobelia stellarioides
INULA HELENiuM
Lilium montanum
Erythrina Piscipula
Momordica Elaterium
Scutellaria macrantha
Lindsaea linearis
Stenoptera adnata
Arum Canariense
Ipomoea Gossweileri
Saussurea alpina
Sanicula Europaea
Babiana spathacea
Althaea Flexuosa
Musa Bagshawei
Fumaria macrosepala
Santalum lanceolatum
Cistus Helianthemum
Polygala Itatiaiae
Chenopodium leptophyllum
Carum verticillatum
Triticum maritimum
Thlaspi Bursa-pastoris
Carex limosa
Poa Tennantiana
Salvia Sclarea
Monadenium erubescens
MiNUARTiA FAscicuLATA
Pennisetum lanuginosum
Heliopsis laevis
Lathyrus pratensis
Gymnadenia PiNGuicuLA
Foeniculum vulgare
Athyrium fontanum
Sedum album
Arenaria graminifolia
Phryma leptostachya
Luzula nivalis
Bouvardia longiflora
Rottlera tinctoria
Alcea indica
Damasonium stellatum
Actinidia curvidens
Ardisia micrantha
Eugenia Grijsii
Crossandra infundibuliformis
Eriophorum alpinum
JuNCUS ACUTUS
Westringia longifolia
Calanthe anchorifera
Saxifraga hypnoides
Orchis laxiflora
Landolphia chylorrhiza
Bromus patulus
Humulus lupulus
AMOMUM Ensal
TORDYLIUM maximum
Nauclea Blancoi
Streptocaulon calophyllum
ANEMONE APENNINA
Ctenomeria Schlechteri
Trichomanes muscoides
Plagianthus Lyallii
Polygala vulgaris
Melissa officinalis
LiSTERA CORDATA
Corypha elata
Glycine heterocarpa
Crocus vernus
ZINNIA tenuiflora
Sideritis romana
Sphenogyne crithmifolia
Phalangium Liliago
Mniopsis scaturiginum
Magnolia fuscata
Langsdorffia rubiginosa
Batis maritima
Asplenium vespertinum
FuMARiA PARViFLORA
Primula obtusifolia
Onosma echioides
TURRITIS alpina
GoODYERA REPENS
Vernonia arborea
Barleria alata
Veratrum virginicum
Tropaeolum majus
Pavetta cataractarum
Tephrosia littoralis
HYACINTHUS romanus
PRIMULA integrifolia
Mammillaria strobiliformis
Adamia cyanea
Cordia Myxa
Monechma eremum
Convolvulus Soldanella
Sparaxis bicolor
Gaura villosa
Salix triandra
Wendlandia Henryi
Pilea muscosa
Senecio Jacobaea
Beta marina
CAMPANULA Tommasiniana
Brachystelma Bagshawei
Veronica beccabunga
Echinophora chrysantha
Clinopodium grandiflorum
Drimys Winteri
Balantium culcita
ViciA Cracca
Proiphys amboinensis
Marica Paludosa
Conyza squarrosa
Nandina Domestica
Cytisus capitatus
Euphorbia Pinea
WACHENDORFIA brevifolia
Aphora serrata
Schizocapsa plantaginea
Phrynium coloratum
Calamus rivalis
SCHIZOPETALON WALKERI
Trillium sessile
Lemna trisulca
Piptatherum multiflorum
Lawrencia spicata
CALOTHAMNUS RUPESTRIS
Senecio integrifolius
Epidendrum auriculigerum
Clematis alpina
PODOTHECA CHRYSANTHA
Protea divaricata
ODONTOGLOSSUM hastilabium
Gonzalea grisea
Ononis repens
Stellaria palustris
Valerianella auricula
Punica granatum
SCLERANTHUS annuus
Hydnophytum Beccarii
Milla Leichtlinii
Hibiscus splendens
Cornus mascula
Centaurea montana
GALIUM erectum
PELARGONIUM Endlicherianum
PlantagO media
Triosteum himalayanum
Liquidambar styraciflua
PLANTAGO CORONOPUS
Juncus Balticus
Isoglossa Eckloniana
Reyesia Chilensis
Calea cuneifolia
Malvastrum glomeratum
Serratula blanda
Plectranthus coleoides
stellaris autumnalis
Euphoria Longana
Oxalis Darvalliana
Valeriana remota
Clavija Ernstii
Brassica sylvestris
GUETTARDA URUGUENSIS
MyOSOtis palustris
ANEMONE PULSATILLA
Aralia Cachemirica
Plantago ciliata
Plantago lacustris
Cephalanthus chinensis
Helleborus viridis
LILIUM pyrenaicum
Callitris quadrivalvis
Kerria japonica
Thymus comosus
PiTTospoRUM STENOPETALUM
Medicago apiculata
Carduus Personata
CYPRIPEDIUM purpuratum
Melilotus albus
CocHLEARiA MicACEA
Selaginella rupestris
Cibotium glaucum
Senecio alpinus
Heptapleurum polybotryum
Babiana Plicata
Veronica alpina
Clypeola cyclodontea
Potentilla emarginata
Ficus microphylla
Carex Kochiana
PYRETHRUM inodorum
EsENBECKiA CASTANOCARPA
Petrea volubilis
Tripteris angustissima
Cracca varia
Inula crithmoides
Ochna Delagoensis
Buena latifolia
Angophora costata
Pyrola maculata
Leucadendron elongatum
Hemiandra pungens
Geranium palustre
Gleichenia arachnoidea
Pelargonium Radula
SESLERIA caerulea
MicRosTYLis JosEPHiANA
Alopecurus myosuroides
Statice maritima
Betula nigra
Anacharis Canadensis
Linum perenne
ERICA cinerea
Tigarea tridentata
Typha angustifolia
Euphrasia officinalis
JuNCUS BUFONius
Pinus Picea
Cyperus radiatus
Veronica cymbalaria
Peliosanthes Teta
Cuscuta hassiaca
Androsace lanuginosa
Dioscorea japonica
Conospermum taxifolium
Saxifraga Aizoon
Scirpus pauciflorus
Hymenaea Courbaril
Calochilus campestris
PiMPiNELLA magna
Raphanus Raphanistrum
Cymbidium tesselloides
Gleichenia hirta
Rhododendron niveum
Oplismenus compositus
Dianthus sylvestris
Fritillaria aurea
Crocus Vernus
Astragalus gummifer
Veronica prostrata
Aristolochia clematitis
Inula conyza
Conopodium majus
Planera japonica
Nymphaea odorata
Agave fourcroydes
Cypripedium candidum
Almeidea rubra
Ziziphora Serpyllacea
Aster natalensis
Melanoseris saxatilis
Berchemia lineata
Phalaris brachystachys
Mimulus Mohavensis
Calamagrostis epigejos
SILENE Armeria
HELLEBORUS LIVIDUS
Epigaea repens
Symphonia globulifera
STELLARIA UMBROSA
Agropyron repens
Phyllanthus Niruri
MALUS Sargentii
ALLIUM triquetrum
Spiranthes autumnalis
Theobroma Cacao
Embothrium salignum
ERICA vagans
CYMBIDIUM RHODOCHILUM
Aspilia congoensis
GAGEA lutea
Ostrya vulgaris
VERONICA arvensis
Hemipilia calophylla
Lupinus Cruckshanksii
Calystegia Soldanella
Cordia aspera
Poa spicata
Spiraea Henryi
Ficus pyrifolia
Carthamus arborescens
Dodonaea attenuata
Philesia buxifolia
Ophispermum sinense
Garnotia patula
Abies picea
Ranunculus filiformis
Cuscuta trifolii
Bellis minor
Strychnos toxifera
Apicra turgida
Ardisia Forbesii
Lastrea rigida
Crotalaria verrucosa
Arthropodium candidum
Heliotropium brevifolium
Schoberia fruticosa
RHODODENDRON ponticum
Daucus Carota
Torenia asiatica
Psoralea corylifolia
Bromus sterilis
Paronychia bonariensis
helleborus niger
Onosma Taurica
Moraea unguiculata
Pandanus pygmaeus
Begonia hirta
Stelis alba
Torenia vagans
Genetyllis tulipifera
Agave decipiens
Hydrangea longipes
Borya nitida
Spergula nodosa
Spergularia rupicola
Neckeria bulbosa
AjuGA reptans
Melaleuca decora
SPATHOGLOTTIS Hardingiana
Melianthus minor
Alternanthera ficoidea
Aira flexuosa
Claytonia alsinoides
Hymenodictyon excelsum
Crocus Sieberi
